Altium Designer Pick and Place Locations
D:\2022\PCH\IGBT_Gate_Driver_15A\Project Outputs for IGBT_Gate_Driver_15A\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       11.06.22
Time:       15:36
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment      Layer       Footprint                     Center-X(mm) Center-Y(mm) Rotation Description                                            
M1         2SC0115T     BottomLayer 2sc0115t                      61.0000      39.0000      0        2SC0115T                                               
IC1        LM2596R-ADJ  TopLayer    TO-263-5                      23.1250      59.0000      180      "40V 3A TO-263-5 DC-DC Converters RoHS"                
TP207      Test_point   TopLayer    TP_C40                        111.0000     29.0000      90       "Test point"                                           
TP206      Test_point   TopLayer    TP_C40                        121.0000     14.0000      180      "Test point"                                           
TP205      Test_point   TopLayer    TP_C40                        93.0000      26.0000      90       "Test point"                                           
TP204      Test_point   TopLayer    TP_C40                        93.0000      32.0000      90       "Test point"                                           
TP203      Test_point   TopLayer    TP_C40                        60.0000      25.0000      180      "Test point"                                           
TP202      Test_point   TopLayer    TP_C40                        60.0000      28.0000      180      "Test point"                                           
TP201      Test_point   TopLayer    TP_C40                        60.0000      31.0000      180      "Test point"                                           
TP107      Test_point   TopLayer    TP_C40                        111.0000     49.0000      90       "Test point"                                           
TP106      Test_point   TopLayer    TP_C40                        121.0000     64.0000      90       "Test point"                                           
TP105      Test_point   TopLayer    TP_C40                        93.0000      46.0000      90       "Test point"                                           
TP104      Test_point   TopLayer    TP_C40                        93.0000      52.0000      90       "Test point"                                           
TP103      Test_point   TopLayer    TP_C40                        60.0000      47.0000      180      "Test point"                                           
TP102      Test_point   TopLayer    TP_C40                        60.0000      50.0000      180      "Test point"                                           
TP101      Test_point   TopLayer    TP_C40                        60.0000      53.0000      180      "Test point"                                           
TP19       Test_point   TopLayer    TP_C40                        33.0000      47.0000      90       "Test point"                                           
TP18       Test_point   TopLayer    TP_C40                        37.0000      66.0000      180      "Test point"                                           
TP17       Test_point   TopLayer    TP_C40                        12.0000      24.0000      90       "Test point"                                           
TP16       Test_point   TopLayer    TP_C40                        37.0000      38.0000      270      "Test point"                                           
TP15       Test_point   TopLayer    TP_C40                        10.0000      32.0000      90       "Test point"                                           
TP14       Test_point   TopLayer    TP_C40                        12.0000      36.0000      90       "Test point"                                           
TP13       Test_point   TopLayer    TP_C40                        11.0000      15.0000      270      "Test point"                                           
TP12       Test_point   TopLayer    TP_C40                        10.0000      44.0000      90       "Test point"                                           
TP11       Test_point   TopLayer    TP_C40                        16.0000      24.0000      90       "Test point"                                           
TP10       Test_point   TopLayer    TP_C40                        11.0000      11.5000      270      "Test point"                                           
TP9        Test_point   TopLayer    TP_C40                        36.0000      50.0000      90       "Test point"                                           
TP8        Test_point   TopLayer    TP_C40                        11.0000      21.0000      270      "Test point"                                           
TP7        Test_point   TopLayer    TP_C40                        19.0000      28.0000      90       "Test point"                                           
TP6        Test_point   TopLayer    TP_C40                        16.0000      36.0000      90       "Test point"                                           
TP5        Test_point   TopLayer    TP_C40                        39.0000      50.0000      90       "Test point"                                           
TP4        Test_point   TopLayer    TP_C40                        19.0000      40.0000      90       "Test point"                                           
